"Resource Type","Item Code","Item Group","Item Desc","Unit","Inactive","Tax Rate","Lead Period","Status",
"Service","AIW0012","Amenities & other Interior Work","Cafe Work","Sq.Ft.",false,0.0,0.0,"Approved",
"Service","AIW0016","Amenities & other Interior Work","Test_cement","BAG",false,0.0,4.0,"Approved",
"Service","AIW0015","Amenities & other Interior Work","Running Track Work","Sq.Ft.",false,0.0,0.0,"Approved",
"Service","AIW0017","Amenities & other Interior Work","Drip Irrigation work","Lumpsum",false,18.0,0.0,"Approved",
"Material","CSM0045","CP & Sanitary Material","Putty Pudding","Kg",false,18.0,4.0,"Approved",
"Material","CSM0065","CP & Sanitary Material","Concealed 40 MM Single Lever Diverter","NOS",false,0.0,27.0,"Draft",
"Material","CSM0064","CP & Sanitary Material","Waste Coupling 6""","NOS",false,18.0,4.0,"Approved",
"Material","CSM0063","CP & Sanitary Material","HEALTH FAUCET WITH PIPE & HOOK","NOS",false,18.0,4.0,"Approved",
"Material","CSM0062","CP & Sanitary Material","Shower Arm","Nos",false,18.0,27.0,"Approved",
"Material","CSM0095","CP & Sanitary Material","CORNER WASH BASIN","NOS",false,18.0,27.0,"Approved",
"Material","CSM0054","CP & Sanitary Material","HEALTH FAUCET WITH WALL MOUNT MIXER","NOS",false,18.0,27.0,"Approved",
"Material","CSM0061","CP & Sanitary Material","Undercounter Basin","Nos",false,18.0,27.0,"Approved",
"Material","CSM0013","CP & Sanitary Material","Waste Coupling 5""","NOS",false,18.0,4.0,"Approved",
"Material","CSM0017","CP & Sanitary Material","Angel Cock","NOS",false,18.0,27.0,"Approved",
"Material","CSM0016","CP & Sanitary Material","Bib Cock","NOS",false,18.0,27.0,"Approved",
"Material","CSM0027","CP & Sanitary Material","Bath Spout","NOS",false,18.0,27.0,"Approved",
"Material","CSM0024","CP & Sanitary Material","Divertor ( Upper Part )","NOS",false,18.0,27.0,"Approved",
"Material","CSM0047","CP & Sanitary Material","Bottle Trap Pipe 9""","Nos",false,18.0,4.0,"Approved",
"Material","CSM0046","CP & Sanitary Material","Bottle Trap Pipe 8""","Nos",false,0.0,4.0,"Approved",
"Material","CSM0044","CP & Sanitary Material","4"" X 4"" SS JALI","NOS",false,18.0,7.0,"Approved",
"Material","CSM0042","CP & Sanitary Material","Basin Mixer","Nos",false,18.0,27.0,"Approved",
"Material","CSM0076","CP & Sanitary Material","35MM DIVERTOR CONCEALED BODY","NOS",false,18.0,27.0,"Approved",
"Material","CSM0059","CP & Sanitary Material","Bath Tub Spout","Nos",false,18.0,27.0,"Approved",
"Material","CSM0058","CP & Sanitary Material","BATH SPOUT WITHOUT DIVERTOR","NOS",false,18.0,27.0,"Approved",
"Material","CSM0052","CP & Sanitary Material","Table Top Basin","Nos",false,18.0,27.0,"Approved",
"Material","CSM0092","CP & Sanitary Material","HIGH FLOW DIVERTOR UPPER PART","NOS",false,18.0,14.0,"Approved",
"Material","CSM0034","CP & Sanitary Material","WC Rack Bolt SS Body Brass Cap","Nos",false,0.0,27.0,"Approved",
"Material","CSM0036","CP & Sanitary Material","Metropole Flange","Nos",false,0.0,27.0,"Approved",
"Material","CSM0077","CP & Sanitary Material","SHORT BODY BIB COCK","NOS",false,0.0,27.0,"Approved",
"Material","CSM0031","CP & Sanitary Material","Sink Cock","NOS",false,18.0,27.0,"Approved",
"Material","CSM0051","CP & Sanitary Material","Piller Cock","Nos",false,18.0,27.0,"Approved",
"Material","CSM0033","CP & Sanitary Material","Self Closing Urinal flush valve","Nos",false,0.0,27.0,"Approved",
"Material","CSM0090","CP & Sanitary Material","TOILET BOX 3.25'*3.25'*7.5'","NOS",false,0.0,15.0,"Approved",
"Material","CSM0009","CP & Sanitary Material","Urinal","NOS",false,18.0,27.0,"Approved",
"Material","CSM0080","CP & Sanitary Material","SOAP DISPENSER","NOS",false,0.0,27.0,"Approved",
"Material","CSM0029","CP & Sanitary Material","Singles Lever BIB Faucet","NOS",false,0.0,27.0,"Approved",
"Material","CSM0078","CP & Sanitary Material","High Flow Divertor Cartridge","NOS",false,0.0,27.0,"Approved",
"Material","CSM0003","CP & Sanitary Material","Brown Paper","BDL",false,0.0,4.0,"Approved",
"Material","CSM0026","CP & Sanitary Material","Health FCT With extention pipe","NOS",false,0.0,4.0,"Approved",
"Material","CSM0093","CP & Sanitary Material","CARAT WALL HUNG EWC SNOW WHITE ( WITH SEAT COVER )","NOS",false,18.0,27.0,"Approved",
"Material","CSM0038","CP & Sanitary Material","32mm Divertor (Concealed Body)","NOS",false,18.0,27.0,"Approved",
"Material","CSM0039","CP & Sanitary Material","Shower With Arm","Nos",false,18.0,27.0,"Approved",
"Material","CSM0066","CP & Sanitary Material","CONCEALED SINGLE LEVER DIVERTOR (HIGH FLOW)","NOS",false,0.0,27.0,"Draft",
"Material","CSM0004","CP & Sanitary Material","Seat Cover","NOS",false,18.0,27.0,"Approved",
"Material","CSM0032","CP & Sanitary Material","Over Shower ABS+SS Arm","NOS",false,18.0,27.0,"Approved",
"Material","CSM0053","CP & Sanitary Material","DIVERTOR WITH PLATE","NOS",false,18.0,27.0,"Approved",
"Material","CSM0040","CP & Sanitary Material","Concealed Flush Tank","Nos",false,18.0,27.0,"Approved",
"Material","CSM0030","CP & Sanitary Material","Double Lever BIB Faucet","NOS",false,0.0,27.0,"Approved",
"Material","CSM0057","CP & Sanitary Material","FACE PLATE","NOS",false,18.0,27.0,"Approved",
"Material","CSM0010","CP & Sanitary Material","Cp Flench","NOS",false,18.0,27.0,"Approved",
"Material","CSM0072","CP & Sanitary Material","CONCEALED PART OF FLUSH COCK","NOS",false,18.0,27.0,"Approved",
"Material","CSM0069","CP & Sanitary Material","EXPOSED PARTS OF DIVERTER","NOS",false,0.0,27.0,"Approved",
"Material","CSM0011","CP & Sanitary Material","Bottle Trap Heavy 12""","NOS",false,18.0,4.0,"Approved",
"Material","CSM0001","CP & Sanitary Material","Bottle Trap 300x190","NOS",false,18.0,27.0,"Approved",
"Material","CSM0070","CP & Sanitary Material","CONCEALED BODY FOR THE SINGLE LEVER DIVERTER","NOS",false,0.0,27.0,"Draft",
"Material","CSM0067","CP & Sanitary Material","Glass Rinser","NOS",false,0.0,27.0,"Approved",
"Material","CSM0028","CP & Sanitary Material","Div Upper Trim","NOS",false,0.0,27.0,"Approved",
"Material","CSM0015","CP & Sanitary Material","Swing Spout","NOS",false,0.0,27.0,"Approved",
"Material","CSM0049","CP & Sanitary Material","DUAL TOILET FLUSH","NOS",false,0.0,27.0,"Approved",
"Material","CSM0075","CP & Sanitary Material","ORISSA PAN","NOS",false,18.0,27.0,"Approved",
"Material","CSM0055","CP & Sanitary Material","BOTTLE TRAP","NOS",false,18.0,27.0,"Approved",
"Material","CSM0060","CP & Sanitary Material","BLACK PIPE + BUSH","NOS",false,18.0,4.0,"Approved",
"Material","CSM0037","CP & Sanitary Material","32mm Metropole Flush Valve","NOS",false,18.0,27.0,"Approved",
"Material","CSM0019","CP & Sanitary Material","Health Fucet","NOS",false,18.0,4.0,"Approved",
"Material","CSM0073","CP & Sanitary Material","EXPOSED PART OF FLUSH COCK","NOS",false,18.0,27.0,"Approved",
"Material","CSM0041","CP & Sanitary Material","Flush Plate","Nos",false,18.0,27.0,"Approved",
"Material","CSM0020","CP & Sanitary Material","Spout Oprated","NOS",false,0.0,27.0,"Approved",
"Material","CSM0018","CP & Sanitary Material","Swing  Sink Cock","NOS",false,0.0,27.0,"Approved",
"Material","CSM0035","CP & Sanitary Material","Connection Pipe 24""","Nos",false,0.0,4.0,"Approved",
"Material","CSM0007","CP & Sanitary Material","Wall hung Wash Basin","NOS",false,0.0,27.0,"Approved",
"Material","CSM0068","CP & Sanitary Material","METROPOLE 40 MM","NOS",false,0.0,27.0,"Approved",
"Material","CSM0071","CP & Sanitary Material","BASIN RACK BOLT SS","NOS",false,0.0,4.0,"Approved",
"Material","CSM0005","CP & Sanitary Material","Wall Hung WC","NOS",false,18.0,27.0,"Approved",
"Material","CSM0043","CP & Sanitary Material","Angle cock","Nos",false,18.0,27.0,"Approved",
"Material","CSM0096","CP & Sanitary Material","CLORA WALL HUNG WASH BASIN","NOS",false,18.0,27.0,"Approved",
"Material","CSM0088","CP & Sanitary Material","FLUSH VALVE SLEEVE","NOS",false,0.0,27.0,"Approved",
"Material","CSM0091","CP & Sanitary Material","PU FOAM","NOS",false,18.0,5.0,"Approved",
"Material","CSM0014","CP & Sanitary Material","Toilet paper Roll Holder","NOS",false,0.0,27.0,"Approved",
"Material","CSM0056","CP & Sanitary Material","FLUSH TANK","NOS",false,18.0,27.0,"Approved",
"Material","CSM0050","CP & Sanitary Material","Overhead Shower","Nos",false,18.0,27.0,"Approved",
"Material","CSM0048","CP & Sanitary Material","Health Faucet","Nos",false,0.0,4.0,"Approved",
"Material","CSM0079","CP & Sanitary Material","ROBE HOOK","NOS",false,0.0,27.0,"Approved",
"Material","CSM0006","CP & Sanitary Material","Table Top Wash Basin W/b White","NOS",false,18.0,27.0,"Approved",
"Material","CSM0025","CP & Sanitary Material","Kitchen Sink","NOS",false,0.0,27.0,"Approved",
"Material","CSM0023","CP & Sanitary Material","Dual Flush Valve","NOS",false,0.0,27.0,"Approved",
"Material","CSM0012","CP & Sanitary Material","Bottle Trap Heavy With 12"" Pipe Special BT08","NOS",false,0.0,45.0,"Approved",
"Material","CSM0008","CP & Sanitary Material","Seat Cover Combo","NOS",false,0.0,27.0,"Approved",
"Material","CSM0074","CP & Sanitary Material","P TRAP","NOS",false,18.0,27.0,"Approved",
"Material","CSM0002","CP & Sanitary Material","Bottle Trape Pipe 12''","NOS",false,18.0,4.0,"Approved",
"Material","CSM0022","CP & Sanitary Material","Towel Ring","NOS",false,0.0,27.0,"Approved",
"Material","CSM0094","CP & Sanitary Material","CIESTA TABLE TOP BASIN","NOS",false,18.0,27.0,"Approved",
"Material","CSM0021","CP & Sanitary Material","Piller Cock with 200mm Extension Body","NOS",false,0.0,27.0,"Approved",
"Material","CSM0082","CP & Sanitary Material","HAND SHOWER MIXER","NOS",false,0.0,27.0,"Approved",
"Material","CSM0081","CP & Sanitary Material","COUNTER TOP BASIN","NOS",false,0.0,27.0,"Approved",
"Material","CSM0085","CP & Sanitary Material","CARTRIDGE NUT COVER","NOS",false,0.0,27.0,"Approved",
"Material","CSM0083","CP & Sanitary Material","CARTRIDGE CHUCK NUT","NOS",false,0.0,27.0,"Approved",
"Material","CSM0084","CP & Sanitary Material","CARTRIDGE SLEEVE","NOS",false,0.0,4.0,"Approved",
"Material","CSM0089","CP & Sanitary Material","CARTRIDGE  FLAT TYPE","NOS",false,0.0,4.0,"Approved",
"Material","CSM0087","CP & Sanitary Material","BL KNOB F.V","NOS",false,0.0,27.0,"Approved",
"Material","CSM0086","CP & Sanitary Material","TIPTON SLEEVE","NOS",false,0.0,27.0,"Approved",
"Material","0002","Ce","OPC 43 Grade 50kg Cement Bag","Bags",true,0.0,8.0,"Approved",
"Material","0001","Cemen","White Cement","KGS",true,0.0,8.0,"Approved",
"Material","CE0001","Cement  Group","PPC Cement","Bags",false,0.0,5.0,"Approved",
"Material","CE0002","Cement  Group","OPC 53 Grade 50kg Cement Bag","Bags",false,18.0,5.0,"Approved",
"Service","CF0022","Civil & Finishing Work","PARDI PLASTER WORK","Lumpsum",false,18.0,0.0,"Approved",
"Service","CF0026","Civil & Finishing Work","Rendering Work","Sq.Ft.",false,0.0,0.0,"Approved",
"Service","CF0019","Civil & Finishing Work","PT cable With Accessories","Lumpsum",false,18.0,0.0,"Approved",
"Service","CF0025","Civil & Finishing Work","PARGOLA WORK","Sq.Ft.",false,0.0,0.0,"Approved",
"Service","CF0020","Civil & Finishing Work","PT Anchor Assembly","Lumpsum",false,18.0,0.0,"Approved",
"Service","CF0021","Civil & Finishing Work","SWIMMING POOL RCC PARDI WORK","Lumpsum",false,18.0,0.0,"Approved",
"Service","CF0028","Civil & Finishing Work","30 MM LAMINATED DOOR WITH HARDWARE AND INSTALLATION","NOS",false,18.0,14.0,"Approved",
"Service","CF0023","Civil & Finishing Work","35 MM LAMINATED DOOR WITH HARDWARE AND INSTALLATION","NOS",false,18.0,0.0,"Approved",
"Service","CF0024","Civil & Finishing Work","40 MM LAMINATED DOOR WITH HARDWARE AND INSTALLATION","NOS",false,18.0,0.0,"Approved",
"Service","CF0010","Civil & Finishing Work","Post Tensioned Work","Lumpsum",false,0.0,0.0,"Approved",
"Service","CF0001","Civil & Finishing Work","Planters & Sitting Pods (Civil Work)","Lumpsum",false,0.0,0.0,"Approved",
"Service","CF0027","Civil & Finishing Work","ROAD CONSTRUCTION WORK","Lumpsum",false,0.0,0.0,"Approved",
"Service","CF0003","Civil & Finishing Work","Main Entrance Gate (Civil + Finishing Work)","Lumpsum",false,0.0,0.0,"Approved",
"Service","CF0018","Civil & Finishing Work","Civil Work","Lumpsum",false,0.0,0.0,"Approved",
"Service","CF0009","Civil & Finishing Work","D - Wall Work","Lumpsum",false,0.0,0.0,"Approved",
"Service","CF0008","Civil & Finishing Work","Civil work (Labour with Material)","Sq.Ft.",false,18.0,0.0,"Approved",
"Service","CF0012","Civil & Finishing Work","Plaster Work","Sq.Ft.",false,18.0,0.0,"Approved",
"Service","CF0014","Civil & Finishing Work","500mm Dia Hydraulic Rig Method Piling Work","Rmt",false,18.0,0.0,"Approved",
"Service","CF0002","Civil & Finishing Work","Compound Wall (Civil + Finishing Work)","Rn.ft",false,0.0,0.0,"Approved",
"Service","CF0005","Civil & Finishing Work","Guniting work","Lumpsum",false,18.0,0.0,"Approved",
"Service","CF0007","Civil & Finishing Work","Swimming Pool Civil Work","Sq.Ft.",false,0.0,0.0,"Approved",
"Service","CF0015","Civil & Finishing Work","Rubble Soiling Work","Sq.Ft.",false,0.0,0.0,"Approved",
"Service","CF0004","Civil & Finishing Work","Excavation/Backfilling work","Lumpsum",false,0.0,0.0,"Approved",
"Service","CF0013","Civil & Finishing Work","450mm Dia Truck method Piling Work","Rmt",false,18.0,0.0,"Approved",
"Service","CF0017","Civil & Finishing Work","Scaffolding Work (Single Palak)","Sq.Ft.",false,0.0,0.0,"Approved",
"Service","CF0006","Civil & Finishing Work","Piling Work","Lumpsum",false,0.0,0.0,"Approved",
"Service","CF0011","Civil & Finishing Work","Yellow Soiling backfilling work","TRIP",false,5.0,0.0,"Approved",
"Service","CF0016","Civil & Finishing Work","Scaffolding Work (Double  Palak)","Sq.Ft.",false,0.0,0.0,"Approved",
"Material","CM0060","Colour Material","Waterproof Exterior Primer (20L)","Bucket",false,0.0,4.0,"Approved",
"Material","CM0084","Colour Material","Epoxy Primer","Ltr",false,18.0,4.0,"Draft",
"Material","CM0005","Colour Material","Cotton West","NOS",false,0.0,4.0,"Approved",
"Material","CM0092","Colour Material","Gypsum Plaster (10 KG )","BAG",false,18.0,4.0,"Approved",
"Material","CM0011","Colour Material","Satin 3 Ltr","BKT",false,0.0,4.0,"Approved",
"Material","CM0052","Colour Material","SAND PAPER (150 NO)","NOS",false,0.0,4.0,"Approved",
"Material","CM0055","Colour Material","Patra Lapi 3x3","NOS",false,0.0,4.0,"Approved",
"Material","CM0080","Colour Material","WD 40","NOS",false,0.0,4.0,"Approved",
"Material","CM0081","Colour Material","SYNTHETIC ENAMEL 1 LTR","NOS",false,0.0,4.0,"Approved",
"Material","CM0041","Colour Material","Synthetic Enamel 20 Ltr","BKT",false,0.0,12.0,"Approved",
"Material","CM0035","Colour Material","Internal Paint","Lit",false,18.0,12.0,"Approved",
"Material","CM0094","Colour Material","BIRLA OPUS DAMP-PROOF B70 (20L)","BKT",false,18.0,7.0,"Approved",
"Material","CM0037","Colour Material","External Colour (20 Lit)","Bucket",false,18.0,12.0,"Approved",
"Material","CM0089","Colour Material","SAND PAPER (180 NO)","PCS",false,18.0,4.0,"Approved",
"Material","CM0013","Colour Material","White Satin 4 Ltr","BKT",false,0.0,4.0,"Approved",
"Material","CM0090","Colour Material","SAND PAPER (200 NO)","PCS",false,18.0,4.0,"Approved",
"Material","CM0076","Colour Material","rusty removing Paper","Nos",false,18.0,4.0,"Approved",
"Material","CM0098","Colour Material","BIRLA OPUS PAINT E70 (20L) - SHADE CODE : AP K123 (GREY)","BKT",false,18.0,7.0,"Approved",
"Material","CM0079","Colour Material","WHITE PAPER (220 NO)","NOS",false,18.0,4.0,"Approved",
"Material","CM0025","Colour Material","TAP ROLL","NOS",false,0.0,4.0,"Approved",
"Material","CM0102","Colour Material","BIRLA OPUS PAINT PB99 (20LTR) - BLACK (SHADE NO - 9551)","BKT",false,18.0,7.0,"Approved",
"Material","CM0097","Colour Material","BIRLA OPUS PAINT E70 (20L) - SHADE CODE : 0169 50% LIGHT (WHITE)","BKT",false,18.0,7.0,"Approved",
"Material","CM0101","Colour Material","PUTTY 40KG","BAG",false,18.0,7.0,"Approved",
"Material","CM0061","Colour Material","POP (5 Kg )","Bags",false,5.0,4.0,"Approved",
"Material","CM0033","Colour Material","External Primer","Lit",false,0.0,4.0,"Approved",
"Material","CM0099","Colour Material","BIRLA OPUS PAINT E70 (20L) - SHADE CODE : NN9252","BKT",false,18.0,10.0,"Approved",
"Material","CM0001","Colour Material","Internal Primer 20 Ltr","BKT",false,18.0,4.0,"Approved",
"Material","CM0032","Colour Material","Clear Tenex & Pigment Colour","BKT",false,18.0,12.0,"Approved",
"Material","CM0010","Colour Material","Brush 3''","NOS",false,18.0,4.0,"Approved",
"Material","CM0056","Colour Material","Brush 100 MM Wooden Handle","NOS",false,18.0,4.0,"Approved",
"Material","CM0007","Colour Material","Enemal Thinner 10 Ltr","BKT",false,0.0,4.0,"Approved",
"Material","CM0083","Colour Material","ROADMARKING COLOUR (YELLOW) - 20 LTR","BKT",false,18.0,12.0,"Approved",
"Material","CM0053","Colour Material","TERPENTINE 5 LTR","BKT",false,18.0,4.0,"Approved",
"Material","CM0096","Colour Material","BLACK COLOUR","NOS",false,0.0,4.0,"Approved",
"Material","CM0066","Colour Material","80 NUMBER BROWN PAPER","BDL",false,18.0,4.0,"Approved",
"Material","CM0004","Colour Material","Colour Mix Solvent","BKT",false,18.0,12.0,"Approved",
"Material","CM0008","Colour Material","Sanding Sealer 1 Ltr Ur Roll","BKT",false,0.0,4.0,"Approved",
"Material","CM0088","Colour Material","HERAMBA TEMPER EC","NOS",false,0.0,4.0,"Approved",
"Material","CM0085","Colour Material","GYPSUM PLASTER (5 KG)","BAG",false,5.0,4.0,"Approved",
"Material","CM0054","Colour Material","Patra Lapi 6x4","NOS",false,0.0,4.0,"Approved",
"Material","CM0100","Colour Material","BIRLA OPUS TEXTURE T15 (30KG)","BAG",false,18.0,7.0,"Approved",
"Material","CM0047","Colour Material","Wetrodry Paper","PCS",false,0.0,4.0,"Approved",
"Material","CM0093","Colour Material","Gypsum Plaster ( 20 KG )","BAG",false,0.0,7.0,"Draft",
"Material","CM0009","Colour Material","Brush 5'","BKT",false,0.0,4.0,"Approved",
"Material","CM0103","Colour Material","GREY COLOUR","Ltr",false,18.0,7.0,"Approved",
"Material","CM0019","Colour Material","Black Colour (Water Based)","NOS",false,18.0,12.0,"Approved",
"Material","CM0046","Colour Material","Stainer 200 ML","BKT",false,0.0,4.0,"Approved",
"Material","CM0024","Colour Material","Taplone Tap Gold 12mtr","NOS",false,18.0,4.0,"Approval",
"Material","CM0021","Colour Material","Brush 1''","NOS",false,28.0,4.0,"Approved",
"Material","CM0058","Colour Material","Roller 6x1 White","NOS",false,0.0,4.0,"Approved",
"Material","CM0034","Colour Material","External Paint","Bucket",false,18.0,12.0,"Approved",
"Material","CM0023","Colour Material","Synthetic Enamel 500ml","BKT",false,0.0,4.0,"Approved",
"Material","CM0048","Colour Material","Multi Clean 1 Ltr","PCS",false,0.0,4.0,"Approved",
"Material","CM0059","Colour Material","Brown Paper Roll","MTR",false,0.0,4.0,"Approved",
"Material","CM0082","Colour Material","PAINT REMOVER","KGS",false,18.0,4.0,"Approved",
"Material","CM0020","Colour Material","Sukha Paper","NOS",false,0.0,4.0,"Approved",
"Material","CM0049","Colour Material","Synthetic Enamel 4 Ltr","BKT",false,0.0,4.0,"Approved",
"Material","CM0063","Colour Material","Putty 30 kg","bags",false,0.0,4.0,"Approved",
"Material","CM0018","Colour Material","Sadi","NOS",false,5.0,4.0,"Approved",
"Material","CM0051","Colour Material","SAND PAPER (120 NO)","NOS",false,18.0,4.0,"Approved",
"Material","CM0067","Colour Material","SAND PAPER (100 NUMBER)","NOS",false,18.0,4.0,"Approved",
"Material","CM0029","Colour Material","Zink  Primer","BKT",false,0.0,4.0,"Approved",
"Material","CM0036","Colour Material","Putty","Kg",false,18.0,4.0,"Approved",
"Material","CM0057","Colour Material","Brush 50 MM Wooden Handle","NOS",false,0.0,4.0,"Approved",
"Material","CM0014","Colour Material","Waterextreme Basecoat","BKT",false,0.0,12.0,"Approved",
"Material","CM0069","Colour Material","ACTION - 100","NOS",false,0.0,4.0,"Approved",
"Material","CM0028","Colour Material","Yellow Primer 20 Ltr","BKT",false,0.0,4.0,"Approved",
"Material","CM0006","Colour Material","Enamel Thinner 20 Ltr","BKT",false,0.0,4.0,"Approved",
"Material","CM0015","Colour Material","Acrylic Primer 20 Ltr","BKT",false,0.0,4.0,"Approved",
"Material","CM0044","Colour Material","Putty Fine 20 KG","PCS",false,18.0,4.0,"Approved",
"Material","CM0068","Colour Material","SAREE","NOS",false,18.0,4.0,"Approved",
"Material","CM0038","Colour Material","Weathershield Accent Base 900 ML","PCS",false,0.0,12.0,"Approved",
"Material","CM0031","Colour Material","Thinner","Ltr",false,0.0,4.0,"Approved",
"Material","CM0022","Colour Material","Brush 2''","NOS",false,0.0,4.0,"Approved",
"Material","CM0027","Colour Material","Teflone Tap","NOS",false,18.0,4.0,"Approved",
"Material","CM0050","Colour Material","SAND PAPER (80 NO)","NOS",false,0.0,4.0,"Approved",
"Material","CM0043","Colour Material","Cement White Primer 20 Ltr","BKT",false,0.0,4.0,"Approved",
"Material","CM0030","Colour Material","Redoxide","BKT",false,0.0,4.0,"Approved",
"Material","CM0016","Colour Material","Oil Paint","Ltr",false,0.0,12.0,"Approved",
"Material","CM0039","Colour Material","White Satin 20 Ltr","BKT",false,0.0,4.0,"Approved",
"Material","CM0070","Colour Material","Masking Tapes","NOS",false,18.0,4.0,"Approved",
"Material","FM0073","Colour Material","Damp Proof Coat (20L)","Bucket",false,0.0,12.0,"Approved",
"Material","CM0078","Colour Material","WHITE PAPER (100 NO)","NOS",false,18.0,4.0,"Approved",
"Material","CM0045","Colour Material","Garlas","Ltr",false,0.0,4.0,"Approved",
"Material","CM0075","Colour Material","Rusty removing spray","Nos",false,18.0,4.0,"Approved",
"Material","CM0003","Colour Material","Brown Paper 80 Nub","PCS",false,0.0,4.0,"Approved",
"Material","CM0077","Colour Material","WHITE PAPER (150 NO)","NOS",false,18.0,4.0,"Approved",
"Material","CE0003","Colour Material","White cement","KGS",false,18.0,4.0,"Approved",
"Material","CM0064","Colour Material","Golden Brown Colour (Oil Paint)","Ltr",false,18.0,4.0,"Approved",
"Material","CM0002","Colour Material","Ultima White 1 Ltr","BKT",false,12.0,12.0,"Approved",
"Material","CM0040","Colour Material","Super Cover BR.White 10 Ltr","PCS",false,0.0,4.0,"Approved",
"Material","CM0072","Colour Material","Thinner 301","Ltr",false,18.0,4.0,"Approved",
"Material","CM0017","Colour Material","Paint Roller","NOS",false,0.0,4.0,"Approved",
"Material","CM0073","Colour Material","Smoke Grey Colors Spray Bottol","Nos",false,18.0,4.0,"Approved",
"Material","CM0095","Colour Material","BIRLA OPUS PRIMER  E10 (20L)","BKT",false,18.0,10.0,"Approved",
"Material","CM0091","Colour Material","ROAD MARKING COLOUR (YELLOW)","Ltr",false,0.0,12.0,"Approved",
"Material","CM0062","Colour Material","OIL PAINT (5LTR)","Ltr",false,0.0,12.0,"Approved",
"Material","CM0074","Colour Material","Black colour spray bottol","Nos",false,18.0,4.0,"Approved",
"Material","CM0065","Colour Material","POP (20 kg)","BAG",false,5.0,4.0,"Approved",
"Material","CM0086","Colour Material","WHITE PAPER (120 NO)","NOS",false,18.0,4.0,"Draft",
"Material","CM0026","Colour Material","Taralac Road Marking Colour White 4ltr","BKT",false,28.0,12.0,"Approved",
"Material","CM0012","Colour Material","Exterior Primer 20 Ltr","BKT",false,0.0,4.0,"Approved",
"Material","CM0042","Colour Material","Synthetic Enamel 10 Ltr","BKT",false,0.0,4.0,"Approved",
"Material","CM0071","Colour Material","MRF Vapocure paint","Ltr",false,18.0,4.0,"Approved",
"Material","CM0087","Colour Material","HATIX PAIT REMOVER 1 LTR-","NOS",false,0.0,4.0,"Approved",
